FID	IID	phenotype
HG00096	HG00096	0.426768040799
HG00097	HG00097	0.392670601599
HG00099	HG00099	0.807596296339
HG00100	HG00100	0.737525654242
HG00101	HG00101	0.98139965592
HG00102	HG00102	-0.27603955336
HG00103	HG00103	0.365687131542
HG00105	HG00105	1.28523483636
HG00106	HG00106	0.368949320499
HG00107	HG00107	0.175917433062
HG00108	HG00108	1.27017099368
HG00109	HG00109	1.08377577837
HG00110	HG00110	0.012388163968
HG00111	HG00111	-0.635931353209
HG00112	HG00112	0.439464301786
HG00113	HG00113	0.528234909613
HG00114	HG00114	0.765432841054
HG00115	HG00115	0.120233687116
HG00116	HG00116	0.687330904668
HG00117	HG00117	0.751224432311
HG00118	HG00118	1.19313070005
HG00119	HG00119	0.86178830441
HG00120	HG00120	0.935159595365
HG00121	HG00121	0.855400226172
HG00122	HG00122	-0.0660853151922
HG00123	HG00123	0.404726851779
HG00125	HG00125	-0.00968952485096
HG00126	HG00126	1.65518504518
HG00127	HG00127	0.280291391612
HG00128	HG00128	1.80893421281
HG00129	HG00129	0.606195783616
HG00130	HG00130	-1.55692969044
HG00131	HG00131	1.23771544206
HG00132	HG00132	-0.515249088155
HG00133	HG00133	0.430576172707
HG00136	HG00136	-0.429775452612
HG00137	HG00137	0.173644181436
HG00138	HG00138	-0.0680321011727
HG00139	HG00139	0.764759841868
HG00140	HG00140	2.07956392983
HG00141	HG00141	0.267201052234
HG00142	HG00142	0.973351196505
HG00143	HG00143	1.24316297036
HG00145	HG00145	0.481104451004
HG00146	HG00146	0.39492608421
HG00148	HG00148	0.849904869687
HG00149	HG00149	1.15930324135
HG00150	HG00150	0.52891381351
HG00151	HG00151	-0.0549615253428
HG00154	HG00154	1.33999526754
HG00155	HG00155	0.61208007415
HG00157	HG00157	1.67187419696
HG00158	HG00158	1.05520461085
HG00159	HG00159	0.839080579136
HG00160	HG00160	0.285216386412
HG00171	HG00171	-0.268048084629
HG00173	HG00173	0.200530497785
HG00174	HG00174	-0.808202480293
HG00176	HG00176	1.37425667869
HG00177	HG00177	1.08014648108
HG00178	HG00178	0.401402114213
HG00179	HG00179	1.23575474447
HG00180	HG00180	0.597403737011
HG00181	HG00181	-0.707808522778
HG00182	HG00182	0.41638539196
HG00183	HG00183	1.14947347857
HG00185	HG00185	0.526803796348
HG00186	HG00186	-0.200973406304
HG00187	HG00187	0.170007800157
HG00188	HG00188	1.15981919794
HG00189	HG00189	1.73794912661
HG00190	HG00190	0.67074802105
HG00231	HG00231	0.321531877448
HG00232	HG00232	-0.00966987107932
HG00233	HG00233	0.45125877435
HG00234	HG00234	0.868346505261
HG00235	HG00235	0.611028542316
HG00236	HG00236	-0.320098062689
HG00237	HG00237	0.36101085128
HG00238	HG00238	0.492140544868
HG00239	HG00239	0.587220615664
HG00240	HG00240	0.289074541968
HG00242	HG00242	-0.484070483216
HG00243	HG00243	0.872428461827
HG00244	HG00244	0.291028656988
HG00245	HG00245	1.33849412419
HG00246	HG00246	-0.232588002316
HG00250	HG00250	0.444820507573
HG00251	HG00251	0.590166529367
HG00252	HG00252	0.806901215127
HG00253	HG00253	0.240512416761
HG00254	HG00254	-0.142779073961
HG00255	HG00255	-0.395096816074
HG00256	HG00256	0.262263181396
HG00257	HG00257	0.61552731038
HG00258	HG00258	1.34742924291
HG00259	HG00259	0.205241127425
HG00260	HG00260	-0.030157855307
HG00261	HG00261	1.0724520629
HG00262	HG00262	-1.18378443549
HG00263	HG00263	-0.115439137059
HG00264	HG00264	1.32121446524
HG00265	HG00265	-0.0334622387599
HG00266	HG00266	-1.05074717996
HG00267	HG00267	0.484311831911
HG00268	HG00268	0.935423030657
HG00269	HG00269	0.255576151304
HG00271	HG00271	1.28683275799
HG00272	HG00272	1.17308624417
HG00273	HG00273	1.05023994271
HG00274	HG00274	-0.455822701037
HG00275	HG00275	0.254145068873
HG00276	HG00276	-0.214687531667
HG00277	HG00277	0.685669262151
HG00278	HG00278	0.16083627236
HG00280	HG00280	-0.565310269176
HG00281	HG00281	0.446125495149
HG00282	HG00282	0.108589872258
HG00284	HG00284	0.0542215444864
HG00285	HG00285	2.37668991986
HG00288	HG00288	0.00521214381566
HG00290	HG00290	0.561594648728
HG00304	HG00304	-0.689421702533
HG00306	HG00306	-0.58428489619
HG00308	HG00308	-0.509010104452
HG00309	HG00309	0.0381211175819
HG00310	HG00310	0.695006323243
HG00311	HG00311	0.956799898208
HG00313	HG00313	0.262103823985
HG00315	HG00315	1.6618383194
HG00318	HG00318	0.323265418192
HG00319	HG00319	0.796979078804
HG00320	HG00320	0.171540845107
HG00321	HG00321	-0.560140511994
HG00323	HG00323	1.52143126545
HG00324	HG00324	0.313122385147
HG00325	HG00325	1.85187285126
HG00326	HG00326	-0.2701113836
HG00327	HG00327	0.398831736975
HG00328	HG00328	-0.555054035128
HG00329	HG00329	-0.280744951825
HG00330	HG00330	0.342118765664
HG00331	HG00331	0.264403190672
HG00332	HG00332	2.74580953409
HG00334	HG00334	0.645869614892
HG00335	HG00335	1.88464572572
HG00336	HG00336	0.87662392428
